Número de inserções: 2000
0: Inserido com sucesso [60]
1: Inserido com sucesso [38]
2: Inserido com sucesso [17]
3: Inserido com sucesso [13]
4: Inserido com sucesso [16]
5: Inserido com sucesso [25]
6: Inserido com sucesso [23]
7: Inserido com sucesso [32]
8: Inserido com sucesso [19]
9: Inserido com sucesso [15]
10: Inserido com sucesso [43]
11: Inserido com sucesso [62]
12: Inserido com sucesso [42]
13: Inserido com sucesso [36]
14: Inserido com sucesso [11]
15: Inserido com sucesso [20]
16: Erro na insercao [38]
17: Inserido com sucesso [26]
18: Inserido com sucesso [29]
19: Inserido com sucesso [10]
20: Inserido com sucesso [24]
21: Inserido com sucesso [90]
22: Inserido com sucesso [18]
23: Inserido com sucesso [14]
24: Erro na insercao [20]
25: Inserido com sucesso [27]
26: Inserido com sucesso [84]
27: Inserido com sucesso [28]
28: Erro na insercao [11]
29: Erro na insercao [19]
30: Erro na insercao [13]
31: Inserido com sucesso [22]
32: Erro na insercao [26]
33: Inserido com sucesso [68]
34: Erro na insercao [14]
35: Erro na insercao [14]
36: Erro na insercao [32]
37: Erro na insercao [26]
38: Erro na insercao [11]
39: Erro na insercao [15]
40: Inserido com sucesso [34]
41: Erro na insercao [16]
42: Erro na insercao [10]
43: Inserido com sucesso [30]
44: Erro na insercao [29]
45: Erro na insercao [32]
46: Erro na insercao [28]
47: Erro na insercao [24]
48: Erro na insercao [30]
49: Erro na insercao [32]
50: Erro na insercao [10]
51: Erro na insercao [15]
52: Erro na insercao [24]
53: Erro na insercao [14]
54: Erro na insercao [27]
55: Inserido com sucesso [79]
56: Erro na insercao [18]
57: Inserido com sucesso [21]
58: Erro na insercao [11]
59: Inserido com sucesso [87]
60: Erro na insercao [29]
61: Erro na insercao [13]
62: Erro na insercao [17]
63: Erro na insercao [14]
64: Erro na insercao [16]
65: Erro na insercao [28]
66: Erro na insercao [17]
67: Erro na insercao [17]
68: Inserido com sucesso [37]
69: Inserido com sucesso [70]
70: Erro na insercao [15]
71: Erro na insercao [15]
72: Erro na insercao [26]
73: Erro na insercao [14]
74: Inserido com sucesso [52]
75: Inserido com sucesso [89]
76: Erro na insercao [21]
77: Erro na insercao [28]
78: Erro na insercao [84]
79: Erro na insercao [29]
80: Erro na insercao [27]
81: Erro na insercao [15]
82: Erro na insercao [20]
83: Inserido com sucesso [81]
84: Erro na insercao [32]
85: Inserido com sucesso [54]
86: Erro na insercao [15]
87: Erro na insercao [22]
88: Inserido com sucesso [53]
89: Erro na insercao [19]
90: Inserido com sucesso [77]
91: Erro na insercao [26]
92: Erro na insercao [25]
93: Inserido com sucesso [12]
94: Erro na insercao [18]
95: Erro na insercao [24]
96: Erro na insercao [13]
97: Erro na insercao [13]
98: Erro na insercao [14]
99: Erro na insercao [23]
100: Erro na insercao [19]
101: Erro na insercao [89]
102: Erro na insercao [24]
103: Erro na insercao [32]
104: Inserido com sucesso [61]
105: Erro na insercao [18]
106: Erro na insercao [26]
107: Inserido com sucesso [48]
108: Erro na insercao [32]
109: Erro na insercao [29]
110: Erro na insercao [25]
111: Inserido com sucesso [57]
112: Erro na insercao [30]
113: Inserido com sucesso [97]
114: Erro na insercao [26]
115: Erro na insercao [15]
116: Erro na insercao [84]
117: Erro na insercao [16]
118: Erro na insercao [30]
119: Inserido com sucesso [51]
120: Erro na insercao [23]
121: Erro na insercao [10]
122: Erro na insercao [26]
123: Inserido com sucesso [40]
124: Erro na insercao [10]
125: Erro na insercao [11]
126: Erro na insercao [26]
127: Inserido com sucesso [76]
128: Inserido com sucesso [92]
129: Erro na insercao [22]
130: Erro na insercao [24]
131: Erro na insercao [17]
132: Erro na insercao [20]
133: Erro na insercao [24]
134: Erro na insercao [11]
135: Erro na insercao [15]
136: Erro na insercao [25]
137: Erro na insercao [16]
138: Erro na insercao [28]
139: Inserido com sucesso [31]
140: Erro na insercao [32]
141: Erro na insercao [22]
142: Erro na insercao [14]
143: Erro na insercao [13]
144: Erro na insercao [21]
145: Erro na insercao [23]
146: Erro na insercao [12]
147: Erro na insercao [13]
148: Erro na insercao [16]
149: Erro na insercao [29]
150: Inserido com sucesso [33]
151: Erro na insercao [21]
152: Erro na insercao [20]
153: Erro na insercao [30]
154: Erro na insercao [12]
155: Erro na insercao [13]
156: Erro na insercao [13]
157: Erro na insercao [24]
158: Erro na insercao [30]
159: Erro na insercao [32]
160: Erro na insercao [13]
161: Erro na insercao [32]
162: Erro na insercao [29]
163: Erro na insercao [16]
164: Erro na insercao [31]
165: Erro na insercao [28]
166: Erro na insercao [31]
167: Erro na insercao [30]
168: Erro na insercao [23]
169: Erro na insercao [16]
170: Erro na insercao [15]
171: Erro na insercao [21]
172: Inserido com sucesso [80]
173: Erro na insercao [12]
174: Erro na insercao [29]
175: Erro na insercao [30]
176: Inserido com sucesso [35]
177: Erro na insercao [28]
178: Inserido com sucesso [94]
179: Erro na insercao [28]
180: Inserido com sucesso [67]
181: Erro na insercao [15]
182: Erro na insercao [15]
183: Erro na insercao [31]
184: Erro na insercao [25]
185: Erro na insercao [30]
186: Erro na insercao [29]
187: Erro na insercao [12]
188: Erro na insercao [11]
189: Erro na insercao [13]
190: Erro na insercao [22]
191: Erro na insercao [20]
192: Erro na insercao [18]
193: Inserido com sucesso [49]
194: Inserido com sucesso [71]
195: Erro na insercao [26]
196: Erro na insercao [25]
197: Erro na insercao [14]
198: Erro na insercao [26]
199: Erro na insercao [28]
200: Erro na insercao [23]
201: Erro na insercao [80]
202: Erro na insercao [80]
203: Erro na insercao [21]
204: Erro na insercao [28]
205: Erro na insercao [20]
206: Erro na insercao [38]
207: Erro na insercao [30]
208: Erro na insercao [25]
209: Erro na insercao [80]
210: Erro na insercao [24]
211: Erro na insercao [52]
212: Erro na insercao [10]
213: Erro na insercao [20]
214: Erro na insercao [30]
215: Erro na insercao [80]
216: Erro na insercao [20]
217: Inserido com sucesso [95]
218: Erro na insercao [23]
219: Erro na insercao [40]
220: Erro na insercao [94]
221: Erro na insercao [25]
222: Erro na insercao [14]
223: Inserido com sucesso [73]
224: Erro na insercao [97]
225: Erro na insercao [16]
226: Erro na insercao [31]
227: Erro na insercao [26]
228: Erro na insercao [26]
229: Erro na insercao [23]
230: Erro na insercao [17]
231: Erro na insercao [67]
232: Erro na insercao [28]
233: Erro na insercao [30]
234: Inserido com sucesso [99]
235: Erro na insercao [27]
236: Erro na insercao [13]
237: Erro na insercao [18]
238: Erro na insercao [23]
239: Erro na insercao [97]
240: Erro na insercao [24]
241: Erro na insercao [99]
242: Erro na insercao [23]
243: Erro na insercao [18]
244: Erro na insercao [11]
245: Erro na insercao [14]
246: Erro na insercao [31]
247: Erro na insercao [90]
248: Erro na insercao [22]
249: Erro na insercao [32]
250: Erro na insercao [22]
251: Erro na insercao [11]
252: Erro na insercao [24]
253: Erro na insercao [22]
254: Erro na insercao [21]
255: Erro na insercao [14]
256: Erro na insercao [19]
257: Erro na insercao [29]
258: Erro na insercao [29]
259: Erro na insercao [21]
260: Erro na insercao [92]
261: Erro na insercao [15]
262: Erro na insercao [11]
263: Erro na insercao [15]
264: Erro na insercao [27]
265: Erro na insercao [89]
266: Erro na insercao [89]
267: Erro na insercao [21]
268: Erro na insercao [32]
269: Erro na insercao [26]
270: Erro na insercao [23]
271: Erro na insercao [12]
272: Erro na insercao [15]
273: Erro na insercao [19]
274: Erro na insercao [24]
275: Erro na insercao [28]
276: Erro na insercao [67]
277: Erro na insercao [14]
278: Erro na insercao [15]
279: Erro na insercao [89]
280: Erro na insercao [12]
281: Erro na insercao [16]
282: Erro na insercao [61]
283: Inserido com sucesso [82]
284: Erro na insercao [11]
285: Erro na insercao [18]
286: Inserido com sucesso [39]
287: Erro na insercao [11]
288: Erro na insercao [16]
289: Erro na insercao [20]
290: Inserido com sucesso [83]
291: Erro na insercao [11]
292: Erro na insercao [29]
293: Erro na insercao [30]
294: Erro na insercao [29]
295: Erro na insercao [20]
296: Erro na insercao [26]
297: Erro na insercao [15]
298: Erro na insercao [90]
299: Erro na insercao [14]
300: Inserido com sucesso [69]
301: Erro na insercao [17]
302: Erro na insercao [23]
303: Inserido com sucesso [47]
304: Erro na insercao [11]
305: Inserido com sucesso [74]
306: Inserido com sucesso [41]
307: Erro na insercao [11]
308: Erro na insercao [12]
309: Erro na insercao [18]
310: Erro na insercao [29]
311: Erro na insercao [31]
312: Erro na insercao [20]
313: Erro na insercao [26]
314: Erro na insercao [32]
315: Erro na insercao [15]
316: Inserido com sucesso [64]
317: Erro na insercao [97]
318: Erro na insercao [54]
319: Erro na insercao [18]
320: Erro na insercao [19]
321: Erro na insercao [17]
322: Erro na insercao [25]
323: Erro na insercao [15]
324: Erro na insercao [29]
325: Erro na insercao [29]
326: Erro na insercao [14]
327: Erro na insercao [60]
328: Erro na insercao [14]
329: Inserido com sucesso [66]
330: Erro na insercao [30]
331: Erro na insercao [12]
332: Erro na insercao [47]
333: Erro na insercao [12]
334: Erro na insercao [25]
335: Erro na insercao [18]
336: Erro na insercao [30]
337: Erro na insercao [24]
338: Erro na insercao [11]
339: Erro na insercao [28]
340: Erro na insercao [28]
341: Erro na insercao [13]
342: Inserido com sucesso [63]
343: Erro na insercao [20]
344: Inserido com sucesso [45]
345: Erro na insercao [97]
346: Erro na insercao [25]
347: Erro na insercao [53]
348: Erro na insercao [38]
349: Inserido com sucesso [85]
